2014-09-09 22:08:28,912 INFO  yusoof-0 thread-0 [ run-143, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,922 INFO  yusoof-0 thread-0 [ run-144, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,929 INFO  yusoof-0 thread-0 [ run-145, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,935 INFO  yusoof-0 thread-0 [ run-146, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,945 INFO  yusoof-0 thread-0 [ run-147, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,951 INFO  yusoof-0 thread-0 [ run-148, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,957 INFO  yusoof-0 thread-0 [ run-149, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,966 INFO  yusoof-0 thread-0 [ run-150, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,972 INFO  yusoof-0 thread-0 [ run-151, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,987 INFO  yusoof-0 thread-0 [ run-152, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,995 INFO  yusoof-0 thread-0 [ run-153, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,005 INFO  yusoof-0 thread-0 [ run-154, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,013 INFO  yusoof-0 thread-0 [ run-155, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,028 INFO  yusoof-0 thread-0 [ run-156, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,055 INFO  yusoof-0 thread-0 [ run-157, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,067 INFO  yusoof-0 thread-0 [ run-158, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,074 INFO  yusoof-0 thread-0 [ run-159, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,083 INFO  yusoof-0 thread-0 [ run-160, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,091 INFO  yusoof-0 thread-0 [ run-161, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,099 INFO  yusoof-0 thread-0 [ run-162, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,106 INFO  yusoof-0 thread-0 [ run-163, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,113 INFO  yusoof-0 thread-0 [ run-164, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,120 INFO  yusoof-0 thread-0 [ run-165, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,128 INFO  yusoof-0 thread-0 [ run-166, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,135 INFO  yusoof-0 thread-0 [ run-167, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,141 INFO  yusoof-0 thread-0 [ run-168, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,148 INFO  yusoof-0 thread-0 [ run-169, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,154 INFO  yusoof-0 thread-0 [ run-170, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:29,160 INFO  yusoof-0 thread-0 [ run-171, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
